Algorithm,Best,Mean,StdDev
BPSO1,621567.0,-4.166666666666621e+19,3.2004773949452544e+20
BPSO2,616190.0,437032.68333333335,149332.26031297812
BPSO,3337027,-1.1133333333333331e+21,2.1416089486385904e+21
GA1,621567.0,448913.05,160949.99612585944
GA2,616190.0,-5.2666666666666616e+20,1.7058591839760852e+21
GA3,554767.0,519842.0,16874.654435967965
