Algorithm,Best,Mean,StdDev
BPSO1,141278.0,141064.45,287.95366670120154
BPSO2,141278.0,141064.06666666668,299.69116696285124
BPSO3,141278,141000.1,343.01383354028155
GA1,141278.0,141096.23333333334,273.56445716178524
GA2,141278.0,141016.31666666668,333.9105414961053
GA3,141278.0,141203.5,193.53875580875268
