Algorithm,Overall Best Score,Overall Average,Overall Standard Deviation
BPSO1,116803,129863.1825,1342.3211324147003
GA1,117847,130021.13833333334,1372.8526993808266
BPSO2,116818,129632.475,1673.7964634452023
GA2,114029,128486.4375,2973.6359821651145
BPSO3,114394,129244.0075,1902.2701102744977
GA3,115312,129962.04166666667,1609.6442091128572
