Algorithm,Overall Best Score,Overall Average,Overall Standard Deviation
BPSO1,936002,1013266.28,15226.196391524269
GA1,935806,1069982.1608333334,29286.787779360497
BPSO2,924834,1011646.8283333334,13675.990052297147
GA2,1025311,1085364.5591666666,8770.927560497767
BPSO3,882375,997616.9741666666,19929.12469670539
GA3,930030,1054265.5441666667,21837.987413100043
