Algorithm,Overall Best Score,Overall Average,Overall Standard Deviation
BPSO1,104315,118298.21166666667,1697.1184441666278
GA1,106954,118749.3575,1425.2424675683842
BPSO2,102612,118393.465,1654.0911000027577
GA2,109890,117984.15666666666,1821.6997242837679
BPSO3,101487,117811.82833333334,2283.506396355662
GA3,104501,118948.76083333333,1534.6356979098673
