Algorithm,Best,Mean,StdDev
BPSO1,98796.0,96734.51666666666,1897.1864035255528
BPSO2,98796.0,96771.28333333334,1972.0876509566087
BPSO3,,,
GA1,98796.0,96938.78333333334,1929.1653038872075
GA2,98796.0,96751.25,1946.3521403298703
GA3,98796.0,97569.6,1726.650951022431
