Algorithm,Best,Mean,StdDev
BPSO1,130883.0,130737.73333333334,277.82193737876224
BPSO2,130883.0,130311.5,1304.8343636901454
BPSO3,130773,130231.23333333334,533.1885022099492
GA1,130883.0,130673.31666666667,383.65099120887925
GA2,130883.0,130262.48333333334,1307.6177128868956
GA3,130883.0,130838.0,160.51479682571323
